收信匣名稱,資料夾名稱,收信時間,寄件者,主旨
KJ-2021A,其他討論,2021/12/21 14:18:01,sabliao@deloitte.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,其他討論,2021/12/21 14:23:21,minter_hsieh@topunion.com.tw,RE: [RPA] Receive_Purchase_Orders_Failed
KJ-2021A,其他討論,2021/12/21 14:53:51,sabliao@deloitte.com.tw,RE:[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,其他討論,2022/01/11 15:00:45,sabliao@deloitte.com.tw,[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,其他討論,2022/01/11 15:09:47,minter_hsieh@topunion.com.tw,RE: [RPA] Receive_Purchase_Orders_Failed
KJ-2021A,其他討論,2022/01/11 16:43:50,sabliao@deloitte.com.tw,RE:[RPA] Receive_Purchase_Orders_Failed
KJ-2021A,其他討論,2022/01/11 19:33:33,minter_hsieh@topunion.com.tw,RE: [RPA] Receive_Purchase_Orders_Failed
KJ-2021A,成功,2022/02/07 14:27:56,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/08 00:00:52,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/07 21:16:01,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/08 13:38:29,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/08 19:39:24,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/09 19:39:39,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/10 13:39:34,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/10 22:00:52,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/11 19:40:13,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/11 15:01:54,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/14 14:54:18,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/14 19:39:10,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/15 14:11:34,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/15 19:40:40,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/16 14:20:52,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/16 19:56:32,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/17 13:41:02,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/17 19:39:51,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/21 14:53:30,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/22 10:01:19,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/23 15:14:52,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/23 19:39:50,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/24 13:39:17,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/24 19:38:45,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/25 14:17:38,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/28 19:40:20,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/02/25 19:39:51,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/01 13:39:52,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/01 19:38:57,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/02 14:21:59,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/02 19:40:12,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/03 13:40:28,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/03 19:39:04,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/04 13:40:05,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/04 19:39:41,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/07 13:40:12,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/08 22:56:39,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/08 13:39:49,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/09 13:40:05,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/09 19:40:33,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/10 13:40:31,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/10 19:39:12,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/11 14:15:23,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/11 19:39:48,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/14 13:59:13,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/15 19:39:40,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/16 13:39:40,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/17 13:39:25,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/18 19:39:25,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/21 17:20:39,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/21 21:09:18,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/23 14:17:11,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/23 22:18:44,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/24 13:39:48,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/24 19:39:26,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/28 21:10:06,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/29 16:10:32,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/29 21:52:23,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/30 13:48:26,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/30 19:40:29,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/31 13:40:00,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/03/31 19:39:44,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/01 13:39:51,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/05 13:39:13,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/01 19:37:48,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/06 11:57:44,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/06 19:39:15,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/07 19:38:57,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/08 13:39:42,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/09 13:38:47,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/08 19:39:16,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/11 13:39:01,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/11 21:08:49,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/12 13:39:25,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/12 19:39:25,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/13 13:39:35,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/14 13:39:18,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/15 13:39:37,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/18 13:41:47,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/18 21:10:59,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/18 22:27:25,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/19 13:41:56,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/20 13:39:57,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/19 19:41:35,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/20 19:39:29,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/21 13:40:16,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/21 19:39:25,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/22 17:26:25,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/22 19:39:35,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/25 13:40:09,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/25 21:10:05,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/26 19:40:35,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/27 13:41:41,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/27 19:40:48,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/28 13:41:18,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/29 13:41:21,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/02 21:11:13,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/02 13:41:55,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/04/29 19:41:21,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/05 13:40:54,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/06 13:40:14,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/09 13:39:44,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/09 22:36:39,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/11 22:35:10,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/12 13:40:27,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/12 19:39:52,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/13 13:40:05,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/13 19:40:12,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/16 13:40:15,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
KJ-2021A,成功,2022/05/16 21:10:03,turpa4@topunion.com.tw,[RPA] Receive_Purchase_Orders_Completed
